protein,ligand,short_name,category,DG,distance,is_productive
A8,34_4-hydroxy-2-nonenal,4-OH-2-nonenal,"α,β-Unsaturated",-7.44,2.069,True
A8,35_Cinnamaldehyde,cinnamald.,Aromatic,-7.51,1.949,True
A8,36_3-(4-Isopropylphenyl)-2-methylpropanal,iPr-Ph methylpropanal,Aromatic,-8.58,1.594,True
A8,"38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",DHF-OH-acetald.,Aromatic,-6.64,3.249,True
A8,39_4-nitrobenzaldehyde,4-NO₂-benzald.,Aromatic,-6.69,2.146,True
A8,3_propylaldehyde,propylaldehyde,Short-chain,-6.0,2.031,True
A8,40_Furan-2-carbaldehyde,furan-2-carbald.,Aromatic,-7.95,1.747,True
A8,41_Indole-3-acetaldehyde,indole-3-acetald.,Aromatic,-7.78,2.907,True
A8,42_Glutamate-5-semialdehyde,Glu-5-semiald.,Semialdehyde,-6.26,6.207,False
A8,43_Glutamate-1-semialdehyde,Glu-1-semiald.,Semialdehyde,-6.08,1.984,True
A8,44_glutarate semialdehyde,glutarate-semiald.,Semialdehyde,-6.51,5.852,False
A8,45_adipate semialdehyde,adipate-semiald.,Semialdehyde,-6.75,6.897,False
A8,46_Succinic semialdehyde,succinic-semiald.,Semialdehyde,-6.2,4.459,False
